detector,scenario,snr_range,n_train,nu,n_dim,cov_rho,n_seeds,auc_mean,auc_std,pd_0.01_mean,pd_0.01_std,pd_0.001_mean,pd_0.001_std,pd_0.0001_mean,pd_0.0001_std
oracle_amf,"U[0, 10dB]",0-10dB,50000,3.0,16,0.9,5,0.775746,0.002040,0.044201,0.003541,0.001896,0.000318,0.000184,0.000041
oracle_t_rao,"U[0, 10dB]",0-10dB,50000,3.0,16,0.9,5,0.774001,0.001966,0.158091,0.006751,0.041168,0.008885,0.008747,0.003446
tyler_amf,"U[0, 10dB]",0-10dB,50000,3.0,16,0.9,5,0.775620,0.002141,0.044744,0.003567,0.001945,0.000340,0.000200,0.000044
linear_mse,"U[0, 10dB]",0-10dB,50000,3.0,16,0.9,5,0.775129,0.001831,0.043646,0.004237,0.002041,0.000322,0.000168,0.000039
fixed_weight,"U[0, 10dB]",0-10dB,50000,3.0,16,0.9,5,0.782942,0.002536,0.226046,0.006066,0.091334,0.005388,0.035983,0.008431
two_branch,"U[0, 10dB]",0-10dB,50000,3.0,16,0.9,5,0.785913,0.001753,0.199340,0.004729,0.062663,0.009204,0.018214,0.005907
oracle_amf,"U[0, 5dB]",0-5dB,50000,3.0,16,0.9,5,0.684231,0.002350,0.020065,0.000985,0.001472,0.000222,0.000160,0.000026
oracle_t_rao,"U[0, 5dB]",0-5dB,50000,3.0,16,0.9,5,0.694819,0.002441,0.078365,0.004276,0.017465,0.003895,0.003686,0.001298
tyler_amf,"U[0, 5dB]",0-5dB,50000,3.0,16,0.9,5,0.684136,0.002428,0.020248,0.001103,0.001465,0.000236,0.000168,0.000030
linear_mse,"U[0, 5dB]",0-5dB,50000,3.0,16,0.9,5,0.683612,0.002102,0.019976,0.001404,0.001497,0.000214,0.000152,0.000030
fixed_weight,"U[0, 5dB]",0-5dB,50000,3.0,16,0.9,5,0.696150,0.003027,0.089517,0.003783,0.020011,0.001730,0.004551,0.001830
two_branch,"U[0, 5dB]",0-5dB,50000,3.0,16,0.9,5,0.693439,0.002106,0.061319,0.002960,0.009786,0.002001,0.001753,0.000682
oracle_amf,"U[5dB, 10dB]",5-10dB,50000,3.0,16,0.9,5,0.893656,0.001827,0.074735,0.006668,0.002489,0.000476,0.000216,0.000065
oracle_t_rao,"U[5dB, 10dB]",5-10dB,50000,3.0,16,0.9,5,0.876422,0.001921,0.259488,0.009425,0.072659,0.014813,0.015254,0.006023
tyler_amf,"U[5dB, 10dB]",5-10dB,50000,3.0,16,0.9,5,0.893440,0.001931,0.075893,0.006800,0.002537,0.000547,0.000208,0.000053
linear_mse,"U[5dB, 10dB]",5-10dB,50000,3.0,16,0.9,5,0.892919,0.001683,0.073901,0.007593,0.002634,0.000464,0.000200,0.000057
fixed_weight,"U[5dB, 10dB]",5-10dB,50000,3.0,16,0.9,5,0.895170,0.002315,0.400058,0.009571,0.182345,0.008459,0.076565,0.016398
two_branch,"U[5dB, 10dB]",5-10dB,50000,3.0,16,0.9,5,0.905256,0.001461,0.377855,0.006673,0.129002,0.016869,0.039164,0.012497
