run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,pfa,detector,snr_db,pd
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,-10,0.011175
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,-5,0.012506
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,0,0.014281
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,5,0.019848
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,10,0.045869
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,15,0.241488
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,-10,0.016782
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,-5,0.023560
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,0,0.039898
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,5,0.081652
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,10,0.160562
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,15,0.230757
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,-10,0.015491
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,-5,0.020413
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,0,0.035017
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,5,0.087179
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,10,0.241205
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,15,0.473253
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,scm,-10,0.010489
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,scm,-5,0.011296
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,scm,0,0.013394
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,scm,5,0.018920
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,scm,10,0.042238
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,scm,15,0.222204
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,tyler,-10,0.011094
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,tyler,-5,0.012183
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,tyler,0,0.014523
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,tyler,5,0.020131
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,tyler,10,0.046514
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,tyler,15,0.241246
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,huber,-10,0.011094
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,huber,-5,0.012183
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,huber,0,0.014523
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,huber,5,0.020131
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,huber,10,0.046514
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,huber,15,0.241246
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_mse,-10,0.010691
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_mse,-5,0.011740
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_mse,0,0.013273
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_mse,5,0.017428
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_mse,10,0.039535
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_mse,15,0.199855
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_huber,-10,0.011296
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_huber,-5,0.012224
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_huber,0,0.014079
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_huber,5,0.019526
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_huber,10,0.042077
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_huber,15,0.217928
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch,-10,0.016056
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch,-5,0.020211
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch,0,0.030539
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch,5,0.068824
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch,10,0.215306
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch,15,0.442593
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,-10,0.016782
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,-5,0.025173
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,0,0.041875
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,5,0.087542
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,10,0.171252
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,15,0.245603
