run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,pfa,detector,snr_db,pd
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,-10,0.012345
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,-5,0.014685
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,0,0.020131
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,5,0.038083
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,10,0.143134
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,15,0.836897
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,-10,0.023318
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,-5,0.039374
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,0,0.083629
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,5,0.185251
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,10,0.315233
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,15,0.263797
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,-10,0.020736
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,-5,0.033121
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,0,0.076569
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,5,0.237131
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,10,0.601138
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,15,0.884743
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,scm,-10,0.011497
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,scm,-5,0.013474
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,scm,0,0.018880
20260607_195233_fixed,fixed,3.0,16,0.9,50000,50000,0.01,scm,5,0.036227
