run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,pfa,detector,snr_train_db,auc,pd_at_pfa
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_gaussian,10,0.777653,0.045869
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_rao,10,0.774692,0.160562
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,oracle_t_glrt,10,0.784460,0.241205
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,scm,10,0.773021,0.042238
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,tyler,10,0.777420,0.046514
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,huber,10,0.777420,0.046514
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_mse,10,0.769228,0.039535
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,linear_huber,10,0.771565,0.042077
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch,10,0.787625,0.215306
20260607_195216_uniform,uniform,3.0,16,0.9,50000,50000,0.01,two_branch_low_sigma,10,0.775504,0.171252
