run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,n_seeds,pfa,detector,snr_train_db,auc_mean,auc_std,pd_mean,pd_std
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,oracle_gaussian,10,0.777653,0.000000,0.045869,0.000000
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,oracle_t_rao,10,0.774692,0.000000,0.160562,0.000000
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,oracle_t_glrt,10,0.784460,0.000000,0.241205,0.000000
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,scm,10,0.775299,0.001518,0.043462,0.000737
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,tyler,10,0.777431,0.000185,0.045896,0.000506
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,huber,10,0.777431,0.000185,0.045896,0.000506
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,linear_mse,10,0.773970,0.003366,0.042937,0.002426
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,linear_huber,10,0.774903,0.002361,0.043314,0.001005
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,two_branch,10,0.787583,0.000154,0.215265,0.000775
20260607_200805_uniform,uniform,3.0,16,0.9,50000,50000,3,0.01,two_branch_low_sigma,10,0.774243,0.001228,0.169168,0.006157
