run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,n_seeds,pfa,detector,snr_train_db,auc_mean,auc_std,pd_mean,pd_std
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,oracle_gaussian,10,0.938100,0.000000,0.143134,0.000000
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,oracle_t_rao,10,0.907191,0.000000,0.315233,0.000000
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,oracle_t_glrt,10,0.942703,0.000000,0.601138,0.000000
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,scm,10,0.936148,0.001374,0.131098,0.001395
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,tyler,10,0.937901,0.000122,0.141614,0.001864
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,huber,10,0.937901,0.000122,0.141614,0.001864
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,linear_mse,10,0.935087,0.002676,0.129323,0.010607
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,linear_huber,10,0.936026,0.001821,0.131488,0.003031
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,two_branch,10,0.945699,0.000109,0.595396,0.001455
20260607_200819_fixed,fixed,3.0,16,0.9,50000,50000,3,0.01,two_branch_low_sigma,10,0.906690,0.003374,0.330308,0.022320
