run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,n_seeds,pfa,detector,snr_eval_db,auc_mean,auc_std,pd_mean,pd_std
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,oracle_np,0,0.744953,0.000000,0.093634,0.000000
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,oracle_gaussian,0,0.716329,0.000000,0.020131,0.000000
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,oracle_t_rao,0,0.731018,0.000000,0.083629,0.000000
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,oracle_t_glrt,0,0.724680,0.000000,0.076569,0.000000
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,oracle_q_sigma_rao,0,0.729997,0.000000,0.081330,0.000000
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,practical_t_rao,0,0.730747,0.000152,0.082231,0.000813
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,practical_t_glrt,0,0.724215,0.000143,0.075695,0.000629
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,scm,0,0.713540,0.001812,0.019203,0.000198
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,tyler,0,0.716051,0.000189,0.019700,0.000280
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,huber,0,0.716051,0.000189,0.019700,0.000280
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,two_branch,0,0.727209,0.000021,0.060164,0.000548
20260608_103754_fixed_small,fixed_small,3.0,16,0.9,50000,50000,3,0.01,mlp_score,0,0.727917,0.001135,0.079205,0.001139
