run_id,theta_mode,nu,n_dim,cov_rho,n_train,n_test,n_seeds,pfa,detector,snr_eval_db,auc_mean,auc_std,pd_mean,pd_std
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,oracle_np,10,0.964984,0.000000,0.616105,0.000000
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,oracle_gaussian,10,0.938100,0.000000,0.143134,0.000000
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,oracle_t_rao,10,0.907191,0.000000,0.315233,0.000000
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,oracle_t_glrt,10,0.942703,0.000000,0.601138,0.000000
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,oracle_q_sigma_rao,10,0.907249,0.000000,0.306681,0.000000
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,practical_t_rao,10,0.906602,0.000093,0.307676,0.000867
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,practical_t_glrt,10,0.942555,0.000145,0.597036,0.001470
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,scm,10,0.936148,0.001374,0.131098,0.001395
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,tyler,10,0.937901,0.000122,0.141614,0.001864
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,huber,10,0.937901,0.000122,0.141614,0.001864
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,two_branch,10,0.945415,0.000170,0.596310,0.000816
20260608_103807_fixed_large,fixed_large,3.0,16,0.9,50000,50000,3,0.01,mlp_score,10,0.908695,0.003477,0.404766,0.007835
